,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Anadyr,RU,26.6,64.73,177.51,92,20,11.18
1,Leningradskiy,RU,35.23,69.38,178.42,96,76,15.57
2,Lompoc,US,73.99,34.64,-120.46,53,20,9.17
3,Bambous Virieux,MU,69.8,-20.34,57.76,83,20,1.12
4,Mataura,NZ,46.39,-46.19,168.86,83,56,7.96
5,Georgetown,GY,91.4,6.8,-58.16,55,20,13.87
6,Hermanus,ZA,68.17,-34.42,19.24,47,12,6.96
7,Padang,ID,78.43,-0.92,100.36,100,48,6.73
8,Ponta do Sol,BR,85.63,-20.63,-46,42,24,7.18
9,Bredasdorp,ZA,64.4,-34.53,20.04,77,56,21.92
10,Cape Town,ZA,66.2,-33.93,18.42,55,0,8.05
11,Port Lincoln,AU,64.3,-34.72,135.86,84,48,11.88
12,Barrow,AR,71.95,-38.31,-60.23,31,0,8.08
13,Saskylakh,RU,27.31,71.97,114.09,90,88,14.79
14,Hobart,AU,48.2,-42.88,147.33,81,40,8.05
15,Mahebourg,MU,69.8,-20.41,57.7,83,20,1.12
16,Fort Nelson,CA,46.4,58.81,-122.69,52,75,5.82
17,Atuona,PF,79.87,-9.8,-139.03,100,8,17.81
18,Lumphat,KH,71.5,13.5,106.97,94,0,1.92
19,Vila,IT,60.22,45.18,8.4,93,0,1.12
20,Busselton,AU,58,-33.64,115.35,100,36,28.1
21,Saint-Pierre,FR,62.6,48.95,4.24,72,0,12.75
22,Vaini,IN,72.22,15.34,74.49,85,12,2.93
23,Tiksi,RU,18.4,71.64,128.87,90,56,2.93
24,Cabo San Lucas,MX,83.37,22.89,-109.91,58,5,18.34
25,Mata,CU,91.4,22.63,-79.93,52,75,5.82
26,Comodoro Rivadavia,AR,66.2,-45.87,-67.48,64,75,29.97
27,Touros,BR,79.42,-5.2,-35.46,79,92,16.24
28,Bethel,US,42.98,60.79,-161.76,82,90,21.92
29,Pangnirtung,CA,24.25,66.15,-65.72,97,80,3.6
30,Mandalgovi,MN,27.22,45.76,106.27,81,0,5.95
31,Chokurdakh,RU,20.83,70.62,147.9,90,92,4.61
32,Houma,CN,44.14,35.63,111.36,62,68,2.37
33,Kumylzhenskaya,RU,44.95,49.88,42.59,92,0,6.96
34,Ushuaia,AR,39.2,-54.81,-68.31,74,75,24.16
35,Porto Novo,BR,70.6,-23.68,-45.44,99,48,2.93
36,Saint-Philippe,CA,46.89,45.36,-73.48,56,90,5.82
37,Yellowknife,CA,30.2,62.45,-114.38,74,75,5.82
38,Tabou,CI,76.63,4.42,-7.36,100,88,4.94
39,Ludvika,SE,59,60.15,15.18,100,8,4.7
40,Sukhobezvodnoye,RU,42.25,57.05,44.89,91,92,2.71
41,Punta Arenas,CL,46.4,-53.16,-70.91,90,75,21.92
42,Hilo,US,80.96,19.71,-155.08,72,20,8.05
43,Nanortalik,GL,34.33,60.14,-45.24,97,0,17.47
44,Ziyang,CN,53.68,30.12,104.65,91,88,2.82
